story_id,word_count,character_count,sentence_count,genre,first_words,timestamp
story_0000,68,451,5,Technical/Scientific,"In today’s digital world, our lives are increasingly stored on...",2025-09-04T23:59:17.446833
story_0001,62,366,3,Technical/Scientific,### Step 1: Understand What Needs to Be Backed Up...,2025-09-04T23:59:17.446863
story_0002,83,497,6,Technical/Scientific,### Step 2: Choose the Right Backup Method There are...,2025-09-04T23:59:17.446880
story_0003,60,389,3,Unknown,### Step 3: Set Up Automatic Backups Manual backups are...,2025-09-04T23:59:17.446909
story_0004,284,1664,22,Fiction/Creative,The morning mist clung to the hills like a shy...,2025-09-04T23:59:17.446990
story_0005,281,1609,27,Fiction/Creative,"The forest breathed. Sunlight, fractured by the canopy, dappled the...",2025-09-04T23:59:17.447069
story_0006,285,1603,25,Fiction/Creative,The wind across the Gorge of Sighing Stones carried more...,2025-09-04T23:59:17.447149
story_0007,169,967,12,General Knowledge/How-To,"The village of Elderglen had forgotten the stars, until the...",2025-09-04T23:59:17.447194
story_0008,98,606,8,Unknown,The **populace** began to change. Children traced star-maps in the...,2025-09-04T23:59:17.447229
story_0009,178,1014,11,Unknown,**1. Triceratops** ✅ (Correct and clear) *Triceratops* is a type...,2025-09-04T23:59:17.447281
story_0010,228,1432,19,Fiction/Creative,The old clock tower in Greystone Square hadn’t chimed in...,2025-09-04T23:59:17.447351
story_0011,120,692,10,Fiction/Creative,"The tide was pulling back, revealing the skeletal remains of...",2025-09-04T23:59:17.447391
story_0012,162,1023,14,Fiction/Creative,"A sculpture. Half-buried in the muck, its form was unmistakable:...",2025-09-04T23:59:17.447444
story_0013,71,394,2,General Knowledge/How-To,**How to Sew a Simple Patch on a Jacket: A...,2025-09-04T23:59:17.447466
story_0014,59,336,1,Unknown,"### What You’ll Need: - A patch (fabric, leather, or...",2025-09-04T23:59:17.447487
story_0015,83,459,6,General Knowledge/How-To,### Step 1: Prepare Your Patch and Jacket Begin by...,2025-09-04T23:59:17.447511
story_0016,56,308,4,Unknown,### Step 3: Start Sewing with a Hidden Stitch To...,2025-09-04T23:59:17.447529
story_0017,238,1511,22,Technical/Scientific,"The old lab smelled of dust and forgotten experiments. Elara,...",2025-09-04T23:59:17.447570
story_0018,245,1668,43,Technical/Scientific,The city of Novea hummed with an *electromagnetically* charged pulse...,2025-09-04T23:59:17.447631
story_0019,213,1252,14,Fiction/Creative,The town of Stroud was built on secrets. Not grand...,2025-09-04T23:59:17.447704
story_0020,65,389,11,Fiction/Creative,"The next morning, the library’s new assistant, a wide-eyed student...",2025-09-04T23:59:17.447734
story_0021,231,1535,13,News/Informative,"**Local Man Suffers Severe Backache After Late-Night Cola Binge** *Springfield,...",2025-09-04T23:59:17.447801
story_0022,211,1455,14,Technical/Scientific,"In a significant development for reproductive science, researchers at the...",2025-09-04T23:59:17.447846
story_0023,54,407,4,Technical/Scientific,"The study’s authors emphasize that while still early, these insights...",2025-09-04T23:59:17.447862
story_0024,101,570,6,Technical/Scientific,**Quantum Entanglement: A Simple Explanation** Imagine two coins that are...,2025-09-04T23:59:17.447882
story_0025,115,740,9,Technical/Scientific,"In the real world, scientists use tiny particles—like electrons or...",2025-09-04T23:59:17.447910
story_0026,56,431,2,Technical/Scientific,"In a bold move to clarify ongoing scientific misconceptions, a...",2025-09-04T23:59:17.447927
story_0027,106,799,6,Technical/Scientific,"The so-called ""deviationism"" hypothesis suggested that echinoderms evolved in ways...",2025-09-04T23:59:17.447953
story_0028,84,626,3,Technical/Scientific,The article concludes with a reminder from the scientific community...,2025-09-04T23:59:17.447975
story_0029,95,559,4,General Knowledge/How-To,"**How to Make a Flawless, Shining Salsa with a Kick:...",2025-09-04T23:59:17.448001
story_0030,86,486,2,General Knowledge/How-To,### Step 1: Gather Your Ingredients To create a *shining*...,2025-09-04T23:59:17.448024
story_0031,89,507,6,Unknown,"The fiery sensation in your salsa comes from **capsaicin**, the...",2025-09-04T23:59:17.448058
story_0032,110,707,8,Unknown,**1. Merchantman (in maritime science & shipping)** *What it is:*...,2025-09-04T23:59:17.448101
story_0033,111,697,11,Unknown,**2. Kalmia (in botany/plant science)** *What it is:* Kalmia is...,2025-09-04T23:59:17.448140
story_0034,56,384,2,Unknown,The Teatro alla Scala recently captivated audiences not just with...,2025-09-04T23:59:17.448160
story_0035,73,517,5,Unknown,"The event, titled “Opera & Appetite,” combined the artistry of...",2025-09-04T23:59:17.448190
story_0036,54,347,2,Unknown,"The fusion of opera, haute cuisine, and fashion has sparked...",2025-09-04T23:59:17.448213
story_0037,270,1737,25,Technical/Scientific,Sure! Let's take the complex scientific concept of **quantum entanglement**—a...,2025-09-04T23:59:17.448262
story_0038,107,684,9,Unknown,"**Languishing** is a state of feeling stuck, uninspired, and emotionally...",2025-09-04T23:59:17.448307
story_0039,98,649,7,Technical/Scientific,### 🧠 Why Is This Important? (The Science) Psychologists like...,2025-09-04T23:59:17.448337
story_0040,253,1606,31,Technical/Scientific,"The jungle air hung thick and sweet, thick with the...",2025-09-04T23:59:17.448410
